,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
Market Sizes | Historical | Period growth,,,,,,,
Geography,Category,Data Type,Unit,Current Constant,2020 - 2025 %,2020 - 2025 CAGR %,2020 - 2025 Absolute
Poland,Charge Cards,Number of Cards,000 cards,-,-16.6,-3.6,-32.6
Poland,Credit Cards,Number of Cards,000 cards,-,-5.4,-1.1,-289.8
Poland,Debit Cards,Number of Cards,000 cards,-,13.7,2.6,4897.8
Poland,Pre-Paid Cards,Number of Cards,000 cards,-,5.4,1.1,401.7
Poland,Store Cards,Number of Cards,000 cards,-,-,-,-
Poland,Transactions,Retail Value RSP,PLN million,Current Prices,70.5,11.3,2614661.4
Poland,Total Card Transactions,Retail Value RSP,PLN million,Current Prices,82.6,12.8,609094.8
Poland,ATM Transactions,Retail Value RSP,PLN million,Current Prices,44.3,7.6,144116.5
Poland,Card Payment Transactions,Retail Value RSP,PLN million,Current Prices,112.9,16.3,464978.3
Poland,Charge Card Transactions,Retail Value RSP,PLN million,Current Prices,91.4,13.9,1657.4
Poland,Credit Card Transactions,Retail Value RSP,PLN million,Current Prices,66.5,10.7,30044.4
Poland,Debit Card Transactions,Retail Value RSP,PLN million,Current Prices,118.7,16.9,425670.5
Poland,Pre-Paid Card Transactions,Retail Value RSP,PLN million,Current Prices,120.3,17.1,7606.0
Poland,Store Card Transactions,Retail Value RSP,PLN million,Current Prices,-,-,-
Poland,Commercial Payment Transactions,Retail Value RSP,PLN million,Current Prices,73.4,11.6,1592568.2
Poland,Personal Payment Transactions,Retail Value RSP,PLN million,Current Prices,72.3,11.5,877976.6
Poland,Total Non-Card Transactions,Retail Value RSP,PLN million,Current Prices,67.5,10.9,2005566.6
Poland,Mobile Payments,Retail Value RSP,PLN million,Current Prices,352.2,35.2,275849.3
Romania,Financial Cards in Circulation,Number of Cards,000 cards,-,26.6,4.8,7394.6
Romania,ATM Cards,Number of Cards,000 cards,-,25.5,4.6,5155.1
Romania,Charge Cards,Number of Cards,000 cards,-,5.3,1.0,1.1
Romania,Credit Cards,Number of Cards,000 cards,-,8.3,1.6,240.7
Romania,Debit Cards,Number of Cards,000 cards,-,27.4,5.0,4337.1
Romania,Pre-Paid Cards,Number of Cards,000 cards,-,30.9,5.5,2815.7
Romania,Store Cards,Number of Cards,000 cards,-,-,-,-
Romania,Transactions,Retail Value RSP,RON million,Current Prices,84.5,13.0,1586653.4
Romania,Total Card Transactions,Retail Value RSP,RON million,Current Prices,103.8,15.3,367851.3
Romania,ATM Transactions,Retail Value RSP,RON million,Current Prices,42.9,7.4,90495.4
Romania,Card Payment Transactions,Retail Value RSP,RON million,Current Prices,193.2,24.0,277356.0
Romania,Charge Card Transactions,Retail Value RSP,RON million,Current Prices,74.0,11.7,94.4
Romania,Credit Card Transactions,Retail Value RSP,RON million,Current Prices,143.7,19.5,19971.3
Romania,Debit Card Transactions,Retail Value RSP,RON million,Current Prices,205.2,25.0,234206.0
Romania,Pre-Paid Card Transactions,Retail Value RSP,RON million,Current Prices,149.9,20.1,23084.3
Romania,Store Card Transactions,Retail Value RSP,RON million,Current Prices,-,-,-
Romania,Commercial Payment Transactions,Retail Value RSP,RON million,Current Prices,92.5,14.0,1040834.6
Romania,Personal Payment Transactions,Retail Value RSP,RON million,Current Prices,84.2,13.0,455323.5
Romania,Total Non-Card Transactions,Retail Value RSP,RON million,Current Prices,80.1,12.5,1218802.1
Romania,Mobile Payments,Retail Value RSP,RON million,Current Prices,1597.8,76.2,160046.1
Russia,Financial Cards in Circulation,Number of Cards,000 cards,-,62.3,10.2,218465.7
Russia,ATM Cards,Number of Cards,000 cards,-,51.1,8.6,170857.2
Russia,Charge Cards,Number of Cards,000 cards,-,-,-,-
Russia,Credit Cards,Number of Cards,000 cards,-,83.4,12.9,32083.3
Russia,Debit Cards,Number of Cards,000 cards,-,70.4,11.2,188427.7
Russia,Pre-Paid Cards,Number of Cards,000 cards,-,-4.6,-0.9,-2003.5
Russia,Store Cards,Number of Cards,000 cards,-,-7.7,-1.6,-41.8
Russia,Transactions,Retail Value RSP,RUB million,Current Prices,81.1,12.6,156438133.7
Russia,Total Card Transactions,Retail Value RSP,RUB million,Current Prices,57.8,9.6,31620892.1
Russia,ATM Transactions,Retail Value RSP,RUB million,Current Prices,46.0,7.9,12333797.1
Russia,Card Payment Transactions,Retail Value RSP,RUB million,Current Prices,69.2,11.1,19287095.0
Russia,Charge Card Transactions,Retail Value RSP,RUB million,Current Prices,-,-,-
Russia,Credit Card Transactions,Retail Value RSP,RUB million,Current Prices,24.1,4.4,307281.9
Russia,Debit Card Transactions,Retail Value RSP,RUB million,Current Prices,71.4,11.4,18675980.9
Russia,Pre-Paid Card Transactions,Retail Value RSP,RUB million,Current Prices,70.1,11.2,302790.6
Russia,Store Card Transactions,Retail Value RSP,RUB million,Current Prices,6.2,1.2,1041.6
Russia,Commercial Payment Transactions,Retail Value RSP,RUB million,Current Prices,88.9,13.6,106672453.6
Russia,Personal Payment Transactions,Retail Value RSP,RUB million,Current Prices,80.9,12.6,37431883.0
Russia,Total Non-Card Transactions,Retail Value RSP,RUB million,Current Prices,90.2,13.7,124817241.6
Russia,Mobile Payments,Retail Value RSP,RUB million,Current Prices,206.3,25.1,8096522.4
Ukraine,Financial Cards in Circulation,Number of Cards,000 cards,-,85.1,13.1,64082.8
Ukraine,ATM Cards,Number of Cards,000 cards,-,68.2,11.0,49944.1
Ukraine,Charge Cards,Number of Cards,000 cards,-,-,-,-
Ukraine,Credit Cards,Number of Cards,000 cards,-,125.5,17.7,27383.1
Ukraine,Debit Cards,Number of Cards,000 cards,-,69.1,11.1,35505.9
Ukraine,Pre-Paid Cards,Number of Cards,000 cards,-,56.9,9.4,1193.8
Ukraine,Store Cards,Number of Cards,000 cards,-,-,-,-
Ukraine,Transactions,Retail Value RSP,UAH million,Current Prices,106.3,15.6,9605729.1
Ukraine,Total Card Transactions,Retail Value RSP,UAH million,Current Prices,10.5,2.0,425206.5
Ukraine,ATM Transactions,Retail Value RSP,UAH million,Current Prices,-99.9,-73.3,-1746258.6
Ukraine,Card Payment Transactions,Retail Value RSP,UAH million,Current Prices,94.5,14.2,2171465.1
Ukraine,Charge Card Transactions,Retail Value RSP,UAH million,Current Prices,-,-,-
Ukraine,Credit Card Transactions,Retail Value RSP,UAH million,Current Prices,72.6,11.5,130875.7
Ukraine,Debit Card Transactions,Retail Value RSP,UAH million,Current Prices,96.4,14.5,2038398.1
Ukraine,Pre-Paid Card Transactions,Retail Value RSP,UAH million,Current Prices,114.6,16.5,2191.3
Ukraine,Store Card Transactions,Retail Value RSP,UAH million,Current Prices,-,-,-
Ukraine,Commercial Payment Transactions,Retail Value RSP,UAH million,Current Prices,193.3,24.0,8674155.0
Ukraine,Personal Payment Transactions,Retail Value RSP,UAH million,Current Prices,95.6,14.4,2677832.8
Ukraine,Total Non-Card Transactions,Retail Value RSP,UAH million,Current Prices,183.9,23.2,9180522.7
Ukraine,Mobile Payments,Retail Value RSP,UAH million,Current Prices,1029.5,62.4,1333045.8
Argentina,Financial Cards in Circulation,Number of Cards,000 cards,-,20.3,3.8,28083.6
Argentina,ATM Cards,Number of Cards,000 cards,-,22.2,4.1,26566.7
Argentina,Charge Cards,Number of Cards,000 cards,-,1.4,0.3,5.2
Argentina,Credit Cards,Number of Cards,000 cards,-,-4.7,-1.0,-2655.4
Argentina,Debit Cards,Number of Cards,000 cards,-,49.1,8.3,27633.8
Argentina,Pre-Paid Cards,Number of Cards,000 cards,-,16.3,3.1,3743.9
Argentina,Store Cards,Number of Cards,000 cards,-,-43.0,-10.6,-688.3
Argentina,Transactions,Retail Value RSP,ARS million,Current Prices,4024.3,110.4,1900911986.7
Argentina,Total Card Transactions,Retail Value RSP,ARS million,Current Prices,2198.3,87.2,221084151.5
Argentina,ATM Transactions,Retail Value RSP,ARS million,Current Prices,791.9,54.9,39813481.6
Argentina,Card Payment Transactions,Retail Value RSP,ARS million,Current Prices,3604.1,105.9,181270669.9
Argentina,Charge Card Transactions,Retail Value RSP,ARS million,Current Prices,1728.1,78.8,204236.0
Argentina,Credit Card Transactions,Retail Value RSP,ARS million,Current Prices,3650.3,106.4,104155289.5
Argentina,Debit Card Transactions,Retail Value RSP,ARS million,Current Prices,3244.8,101.8,61702269.3
Argentina,Pre-Paid Card Transactions,Retail Value RSP,ARS million,Current Prices,7082.7,135.1,14873733.1
Argentina,Store Card Transactions,Retail Value RSP,ARS million,Current Prices,635.3,49.0,335142.0
Argentina,Commercial Payment Transactions,Retail Value RSP,ARS million,Current Prices,4774.5,117.6,1217388548.6
Argentina,Personal Payment Transactions,Retail Value RSP,ARS million,Current Prices,3852.1,108.6,643709956.4
Argentina,Total Non-Card Transactions,Retail Value RSP,ARS million,Current Prices,4518.2,115.2,1679827835.2
Argentina,Mobile Payments,Retail Value RSP,ARS million,Current Prices,2603.7,93.4,3420126.2
Brazil,Financial Cards in Circulation,Number of Cards,000 cards,-,54.8,9.1,478316.3
Brazil,ATM Cards,Number of Cards,000 cards,-,28.9,5.2,179087.9
Brazil,Charge Cards,Number of Cards,000 cards,-,-,-,-
Brazil,Credit Cards,Number of Cards,000 cards,-,140.4,19.2,369491.6
Brazil,Debit Cards,Number of Cards,000 cards,-,15.6,2.9,75269.1
Brazil,Pre-Paid Cards,Number of Cards,000 cards,-,176.4,22.5,230401.7
Brazil,Store Cards,Number of Cards,000 cards,-,-29.1,-6.6,-36185.8
Brazil,Transactions,Retail Value RSP,BRL million,Current Prices,74.6,11.8,8903725.2
Brazil,Total Card Transactions,Retail Value RSP,BRL million,Current Prices,89.8,13.7,2492858.7
Brazil,ATM Transactions,Retail Value RSP,BRL million,Current Prices,29.0,5.2,142848.7
Brazil,Card Payment Transactions,Retail Value RSP,BRL million,Current Prices,102.9,15.2,2350010.0
Brazil,Charge Card Transactions,Retail Value RSP,BRL million,Current Prices,-,-,-
Brazil,Credit Card Transactions,Retail Value RSP,BRL million,Current Prices,160.0,21.1,1826555.9
Brazil,Debit Card Transactions,Retail Value RSP,BRL million,Current Prices,21.0,3.9,172467.8
Brazil,Pre-Paid Card Transactions,Retail Value RSP,BRL million,Current Prices,139.3,19.1,384262.2
Brazil,Store Card Transactions,Retail Value RSP,BRL million,Current Prices,-51.0,-13.3,-13277.5
Brazil,Commercial Payment Transactions,Retail Value RSP,BRL million,Current Prices,74.3,11.8,5660325.6
Brazil,Personal Payment Transactions,Retail Value RSP,BRL million,Current Prices,80.9,12.6,3100550.9
Brazil,Total Non-Card Transactions,Retail Value RSP,BRL million,Current Prices,69.9,11.2,6410866.5
Brazil,Mobile Payments,Retail Value RSP,BRL million,Current Prices,212.0,25.6,679480.1
Chile,Financial Cards in Circulation,Number of Cards,000 cards,-,57.7,9.5,31830.0
Chile,ATM Cards,Number of Cards,000 cards,-,27.0,4.9,11708.4
Chile,Charge Cards,Number of Cards,000 cards,-,-,-,-
Chile,Credit Cards,Number of Cards,000 cards,-,-3.0,-0.6,-542.3
Chile,Debit Cards,Number of Cards,000 cards,-,38.3,6.7,8303.2
Chile,Pre-Paid Cards,Number of Cards,000 cards,-,213.3,25.7,20060.5
Chile,Store Cards,Number of Cards,000 cards,-,-54.8,-14.7,-1342.8
Chile,Transactions,Retail Value RSP,CLP million,Current Prices,71.4,11.4,254334176.6
Chile,Total Card Transactions,Retail Value RSP,CLP million,Current Prices,93.6,14.1,76607609.0
Chile,ATM Transactions,Retail Value RSP,CLP million,Current Prices,18.8,3.5,4689819.5
Chile,Card Payment Transactions,Retail Value RSP,CLP million,Current Prices,126.3,17.7,71917789.5
Chile,Charge Card Transactions,Retail Value RSP,CLP million,Current Prices,-,-,-
Chile,Credit Card Transactions,Retail Value RSP,CLP million,Current Prices,87.2,13.4,22197272.3
Chile,Debit Card Transactions,Retail Value RSP,CLP million,Current Prices,141.1,19.2,42054388.6
Chile,Pre-Paid Card Transactions,Retail Value RSP,CLP million,Current Prices,964.0,60.5,7786526.3
Chile,Store Card Transactions,Retail Value RSP,CLP million,Current Prices,-13.4,-2.8,-120397.7
Chile,Commercial Payment Transactions,Retail Value RSP,CLP million,Current Prices,70.2,11.2,159653430.2
Chile,Personal Payment Transactions,Retail Value RSP,CLP million,Current Prices,86.8,13.3,89990926.9
Chile,Total Non-Card Transactions,Retail Value RSP,CLP million,Current Prices,64.8,10.5,177726567.6
Chile,Mobile Payments,Retail Value RSP,CLP million,Current Prices,136.4,18.8,6550186.6
Colombia,Financial Cards in Circulation,Number of Cards,000 cards,-,9.1,1.8,7548.2
Colombia,ATM Cards,Number of Cards,000 cards,-,22.4,4.1,13593.1
Colombia,Charge Cards,Number of Cards,000 cards,-,-,-,-
Colombia,Credit Cards,Number of Cards,000 cards,-,2.7,0.5,398.9
Colombia,Debit Cards,Number of Cards,000 cards,-,24.5,4.5,9456.3
Colombia,Pre-Paid Cards,Number of Cards,000 cards,-,-0.6,-0.1,-173.4
Colombia,Store Cards,Number of Cards,000 cards,-,-21.6,-4.8,-671.6
Colombia,Transactions,Retail Value RSP,COP billion,Current Prices,99.0,14.8,1695939.5
Colombia,Total Card Transactions,Retail Value RSP,COP billion,Current Prices,99.2,14.8,402228.5
Colombia,ATM Transactions,Retail Value RSP,COP billion,Current Prices,89.3,13.6,260591.9
Colombia,Card Payment Transactions,Retail Value RSP,COP billion,Current Prices,124.6,17.6,141636.6
Colombia,Charge Card Transactions,Retail Value RSP,COP billion,Current Prices,-,-,-
Colombia,Credit Card Transactions,Retail Value RSP,COP billion,Current Prices,124.5,17.6,63550.7
Colombia,Debit Card Transactions,Retail Value RSP,COP billion,Current Prices,137.9,18.9,73776.6
Colombia,Pre-Paid Card Transactions,Retail Value RSP,COP billion,Current Prices,80.2,12.5,5483.8
Colombia,Store Card Transactions,Retail Value RSP,COP billion,Current Prices,-52.3,-13.8,-1174.5
Colombia,Commercial Payment Transactions,Retail Value RSP,COP billion,Current Prices,98.0,14.6,821311.8
Colombia,Personal Payment Transactions,Retail Value RSP,COP billion,Current Prices,105.3,15.5,614035.7
Colombia,Total Non-Card Transactions,Retail Value RSP,COP billion,Current Prices,98.9,14.7,1293711.0
Colombia,Mobile Payments,Retail Value RSP,COP billion,Current Prices,193.2,24.0,67193.1
Mexico,Financial Cards in Circulation,Number of Cards,000 cards,-,34.2,6.1,97720.8
Mexico,ATM Cards,Number of Cards,000 cards,-,30.1,5.4,58643.4
Mexico,Charge Cards,Number of Cards,000 cards,-,34.3,6.1,549.3
Mexico,Credit Cards,Number of Cards,000 cards,-,40.5,7.0,11697.7
Mexico,Debit Cards,Number of Cards,000 cards,-,38.1,6.7,60153.9
Mexico,Pre-Paid Cards,Number of Cards,000 cards,-,75.1,11.9,36039.9
Mexico,Store Cards,Number of Cards,000 cards,-,29.3,5.3,14463.9
Mexico,Transactions,Retail Value RSP,MXN million,Current Prices,83.3,12.9,138325703.3
Mexico,Total Card Transactions,Retail Value RSP,MXN million,Current Prices,24.6,4.5,1681473.3
Mexico,ATM Transactions,Retail Value RSP,MXN million,Current Prices,-3.5,-0.7,-142187.2
Mexico,Card Payment Transactions,Retail Value RSP,MXN million,Current Prices,64.9,10.5,1823660.6
Mexico,Charge Card Transactions,Retail Value RSP,MXN million,Current Prices,59.8,9.8,97002.9
Mexico,Credit Card Transactions,Retail Value RSP,MXN million,Current Prices,42.4,7.3,369441.8
Mexico,Debit Card Transactions,Retail Value RSP,MXN million,Current Prices,74.2,11.7,1064847.1
Mexico,Pre-Paid Card Transactions,Retail Value RSP,MXN million,Current Prices,75.8,11.9,117200.5
Mexico,Store Card Transactions,Retail Value RSP,MXN million,Current Prices,92.6,14.0,175168.4
Mexico,Commercial Payment Transactions,Retail Value RSP,MXN million,Current Prices,76.6,12.0,108153488.0
Mexico,Personal Payment Transactions,Retail Value RSP,MXN million,Current Prices,146.0,19.7,30314402.6
Mexico,Total Non-Card Transactions,Retail Value RSP,MXN million,Current Prices,85.8,13.2,136644230.0
Mexico,Mobile Payments,Retail Value RSP,MXN million,Current Prices,186.0,23.4,1035314.7
Peru,Financial Cards in Circulation,Number of Cards,000 cards,-,46.4,7.9,26041.6
Peru,ATM Cards,Number of Cards,000 cards,-,42.8,7.4,17764.5
Peru,Charge Cards,Number of Cards,000 cards,-,-,-,-
Peru,Credit Cards,Number of Cards,000 cards,-,8.2,1.6,601.3
Peru,Debit Cards,Number of Cards,000 cards,-,47.7,8.1,15908.5
Peru,Pre-Paid Cards,Number of Cards,000 cards,-,63.2,10.3,9668.7
Peru,Store Cards,Number of Cards,000 cards,-,-,-,-
Peru,Transactions,Retail Value RSP,PEN million,Current Prices,54.3,9.1,683746.2
Peru,Total Card Transactions,Retail Value RSP,PEN million,Current Prices,61.4,10.1,138225.0
Peru,ATM Transactions,Retail Value RSP,PEN million,Current Prices,10.9,2.1,17181.2
Peru,Card Payment Transactions,Retail Value RSP,PEN million,Current Prices,181.2,23.0,121043.8
Peru,Charge Card Transactions,Retail Value RSP,PEN million,Current Prices,-,-,-
Peru,Credit Card Transactions,Retail Value RSP,PEN million,Current Prices,139.4,19.1,53770.3
Peru,Debit Card Transactions,Retail Value RSP,PEN million,Current Prices,230.6,27.0,60632.4
Peru,Pre-Paid Card Transactions,Retail Value RSP,PEN million,Current Prices,502.9,43.2,7174.9
Peru,Store Card Transactions,Retail Value RSP,PEN million,Current Prices,-,-,-
Peru,Commercial Payment Transactions,Retail Value RSP,PEN million,Current Prices,68.0,10.9,451927.8
Peru,Personal Payment Transactions,Retail Value RSP,PEN million,Current Prices,49.2,8.3,214637.2
Peru,Total Non-Card Transactions,Retail Value RSP,PEN million,Current Prices,52.7,8.8,545521.2
Peru,Mobile Payments,Retail Value RSP,PEN million,Current Prices,180.5,22.9,15229.5
Egypt,Financial Cards in Circulation,Number of Cards,000 cards,-,93.8,14.1,72032.8
Egypt,ATM Cards,Number of Cards,000 cards,-,82.7,12.8,52386.4
Egypt,Charge Cards,Number of Cards,000 cards,-,-36.9,-8.8,-5.7
Egypt,Credit Cards,Number of Cards,000 cards,-,101.2,15.0,9885.6
Egypt,Debit Cards,Number of Cards,000 cards,-,93.6,14.1,38163.6
Egypt,Pre-Paid Cards,Number of Cards,000 cards,-,91.5,13.9,23989.4
Egypt,Store Cards,Number of Cards,000 cards,-,-,-,-
Egypt,Transactions,Retail Value RSP,EGP million,Current Prices,198.4,24.4,19857490.3
Egypt,Total Card Transactions,Retail Value RSP,EGP million,Current Prices,251.3,28.6,6572084.0
Egypt,ATM Transactions,Retail Value RSP,EGP million,Current Prices,194.4,24.1,1701233.4
Egypt,Card Payment Transactions,Retail Value RSP,EGP million,Current Prices,279.9,30.6,4870850.6
Egypt,Charge Card Transactions,Retail Value RSP,EGP million,Current Prices,-22.0,-4.9,-47.6
Egypt,Credit Card Transactions,Retail Value RSP,EGP million,Current Prices,257.8,29.0,598175.8
Egypt,Debit Card Transactions,Retail Value RSP,EGP million,Current Prices,303.0,32.1,2553229.3
Egypt,Pre-Paid Card Transactions,Retail Value RSP,EGP million,Current Prices,258.6,29.1,1719493.1
Egypt,Store Card Transactions,Retail Value RSP,EGP million,Current Prices,-,-,-
Egypt,Commercial Payment Transactions,Retail Value RSP,EGP million,Current Prices,170.5,22.0,8302650.8
Egypt,Personal Payment Transactions,Retail Value RSP,EGP million,Current Prices,231.2,27.1,9853606.1
Egypt,Total Non-Card Transactions,Retail Value RSP,EGP million,Current Prices,179.7,22.8,13285406.3
Egypt,Mobile Payments,Retail Value RSP,EGP million,Current Prices,276.8,30.4,2031.4
Israel,Financial Cards in Circulation,Number of Cards,000 cards,-,36.9,6.5,5312.5
Israel,ATM Cards,Number of Cards,000 cards,-,-3.6,-0.7,-171.0
Israel,Charge Cards,Number of Cards,000 cards,-,25.0,4.6,1642.7
Israel,Credit Cards,Number of Cards,000 cards,-,34.5,6.1,2498.0
Israel,Debit Cards,Number of Cards,000 cards,-,51.7,8.7,526.0
Israel,Pre-Paid Cards,Number of Cards,000 cards,-,43.5,7.5,1799.9
Israel,Store Cards,Number of Cards,000 cards,-,-,-,-
Israel,Transactions,Retail Value RSP,ILS million,Current Prices,52.9,8.9,891582.4
Israel,Total Card Transactions,Retail Value RSP,ILS million,Current Prices,57.4,9.5,230859.6
Israel,ATM Transactions,Retail Value RSP,ILS million,Current Prices,-16.7,-3.6,-8976.5
Israel,Card Payment Transactions,Retail Value RSP,ILS million,Current Prices,68.9,11.0,239836.2
Israel,Charge Card Transactions,Retail Value RSP,ILS million,Current Prices,65.0,10.5,187108.6
Israel,Credit Card Transactions,Retail Value RSP,ILS million,Current Prices,72.4,11.5,25328.5
Israel,Debit Card Transactions,Retail Value RSP,ILS million,Current Prices,115.5,16.6,25371.6
Israel,Pre-Paid Card Transactions,Retail Value RSP,ILS million,Current Prices,60.7,10.0,2027.4
Israel,Store Card Transactions,Retail Value RSP,ILS million,Current Prices,-,-,-
Israel,Commercial Payment Transactions,Retail Value RSP,ILS million,Current Prices,58.7,9.7,682267.4
Israel,Personal Payment Transactions,Retail Value RSP,ILS million,Current Prices,46.5,7.9,218291.5
Israel,Total Non-Card Transactions,Retail Value RSP,ILS million,Current Prices,51.5,8.7,660722.7
Israel,Mobile Payments,Retail Value RSP,ILS million,Current Prices,1051.5,63.0,83719.2
Morocco,Financial Cards in Circulation,Number of Cards,000 cards,-,46.5,7.9,8102.3
Morocco,ATM Cards,Number of Cards,000 cards,-,55.0,9.2,8637.0
Morocco,Charge Cards,Number of Cards,000 cards,-,-,-,-
Morocco,Credit Cards,Number of Cards,000 cards,-,32.4,5.8,502.0
Morocco,Debit Cards,Number of Cards,000 cards,-,57.6,9.5,7729.0
Morocco,Pre-Paid Cards,Number of Cards,000 cards,-,-2.6,-0.5,-59.0
Morocco,Store Cards,Number of Cards,000 cards,-,-,-,-
Morocco,Transactions,Retail Value RSP,MAD million,Current Prices,53.1,8.9,997592.3
Morocco,Total Card Transactions,Retail Value RSP,MAD million,Current Prices,58.5,9.7,182246.1
Morocco,ATM Transactions,Retail Value RSP,MAD million,Current Prices,46.9,8.0,129671.4
Morocco,Card Payment Transactions,Retail Value RSP,MAD million,Current Prices,150.0,20.1,52574.7
Morocco,Charge Card Transactions,Retail Value RSP,MAD million,Current Prices,-,-,-
Morocco,Credit Card Transactions,Retail Value RSP,MAD million,Current Prices,135.8,18.7,2646.8
Morocco,Debit Card Transactions,Retail Value RSP,MAD million,Current Prices,155.3,20.6,49616.8
Morocco,Pre-Paid Card Transactions,Retail Value RSP,MAD million,Current Prices,27.1,4.9,311.1
Morocco,Store Card Transactions,Retail Value RSP,MAD million,Current Prices,-,-,-
Morocco,Commercial Payment Transactions,Retail Value RSP,MAD million,Current Prices,58.2,9.6,603655.8
Morocco,Personal Payment Transactions,Retail Value RSP,MAD million,Current Prices,46.7,8.0,264265.1
Morocco,Total Non-Card Transactions,Retail Value RSP,MAD million,Current Prices,52.0,8.7,815346.2
Morocco,Mobile Payments,Retail Value RSP,MAD million,Current Prices,1174.2,66.4,3018.9
Nigeria,Financial Cards in Circulation,Number of Cards,000 cards,-,128.3,17.9,79736.4
Nigeria,ATM Cards,Number of Cards,000 cards,-,103.4,15.3,64283.1
Nigeria,Charge Cards,Number of Cards,000 cards,-,-,-,-
Nigeria,Credit Cards,Number of Cards,000 cards,-,45.7,7.8,414.2
Nigeria,Debit Cards,Number of Cards,000 cards,-,80.5,12.5,48575.4
Nigeria,Pre-Paid Cards,Number of Cards,000 cards,-,810.2,55.5,7058.9
Nigeria,Store Cards,Number of Cards,000 cards,-,-,-,-
Nigeria,Transactions,Retail Value RSP,NGN million,Current Prices,274.0,30.2,575464646.8
Nigeria,Total Card Transactions,Retail Value RSP,NGN million,Current Prices,204.5,24.9,34173147.7
Nigeria,ATM Transactions,Retail Value RSP,NGN million,Current Prices,149.3,20.0,17923171.5
Nigeria,Card Payment Transactions,Retail Value RSP,NGN million,Current Prices,345.5,34.8,16249976.3
Nigeria,Charge Card Transactions,Retail Value RSP,NGN million,Current Prices,-,-,-
Nigeria,Credit Card Transactions,Retail Value RSP,NGN million,Current Prices,311.3,32.7,152174.1
Nigeria,Debit Card Transactions,Retail Value RSP,NGN million,Current Prices,349.7,35.1,15885291.6
Nigeria,Pre-Paid Card Transactions,Retail Value RSP,NGN million,Current Prices,190.0,23.7,212510.5
Nigeria,Store Card Transactions,Retail Value RSP,NGN million,Current Prices,-,-,-
Nigeria,Commercial Payment Transactions,Retail Value RSP,NGN million,Current Prices,453.8,40.8,487168261.9
Nigeria,Personal Payment Transactions,Retail Value RSP,NGN million,Current Prices,77.6,12.2,70373213.4
Nigeria,Total Non-Card Transactions,Retail Value RSP,NGN million,Current Prices,280.0,30.6,541291499.1
Nigeria,Mobile Payments,Retail Value RSP,NGN million,Current Prices,387.4,37.3,4614312.0
Saudi Arabia,Financial Cards in Circulation,Number of Cards,000 cards,-,75.4,11.9,38123.9
Saudi Arabia,ATM Cards,Number of Cards,000 cards,-,65.9,10.7,33326.7
Saudi Arabia,Charge Cards,Number of Cards,000 cards,-,49.0,8.3,4.6
Saudi Arabia,Credit Cards,Number of Cards,000 cards,-,54.8,9.1,3290.0
Saudi Arabia,Debit Cards,Number of Cards,000 cards,-,79.8,12.5,33252.5
Saudi Arabia,Pre-Paid Cards,Number of Cards,000 cards,-,54.7,9.1,1576.8
Saudi Arabia,Store Cards,Number of Cards,000 cards,-,-,-,-
Saudi Arabia,Transactions,Retail Value RSP,SAR million,Current Prices,25.5,4.7,840973.5
Saudi Arabia,Total Card Transactions,Retail Value RSP,SAR million,Current Prices,27.3,5.0,280242.4
Saudi Arabia,ATM Transactions,Retail Value RSP,SAR million,Current Prices,-20.5,-4.5,-128890.7
Saudi Arabia,Card Payment Transactions,Retail Value RSP,SAR million,Current Prices,103.3,15.2,409133.0
Saudi Arabia,Charge Card Transactions,Retail Value RSP,SAR million,Current Prices,68.9,11.1,83.5
Saudi Arabia,Credit Card Transactions,Retail Value RSP,SAR million,Current Prices,109.2,15.9,108276.4
Saudi Arabia,Debit Card Transactions,Retail Value RSP,SAR million,Current Prices,98.3,14.7,279024.8
Saudi Arabia,Pre-Paid Card Transactions,Retail Value RSP,SAR million,Current Prices,166.6,21.7,21748.4
Saudi Arabia,Store Card Transactions,Retail Value RSP,SAR million,Current Prices,-,-,-
Saudi Arabia,Commercial Payment Transactions,Retail Value RSP,SAR million,Current Prices,32.6,5.8,558897.7
Saudi Arabia,Personal Payment Transactions,Retail Value RSP,SAR million,Current Prices,43.2,7.4,410966.5
Saudi Arabia,Total Non-Card Transactions,Retail Value RSP,SAR million,Current Prices,24.7,4.5,560731.1
Saudi Arabia,Mobile Payments,Retail Value RSP,SAR million,Current Prices,137.1,18.8,102165.0
South Africa,Financial Cards in Circulation,Number of Cards,000 cards,-,9.9,1.9,9685.1
South Africa,ATM Cards,Number of Cards,000 cards,-,11.8,2.3,9343.2
South Africa,Charge Cards,Number of Cards,000 cards,-,-1.5,-0.3,-4.0
South Africa,Credit Cards,Number of Cards,000 cards,-,21.3,3.9,1534.7
South Africa,Debit Cards,Number of Cards,000 cards,-,9.1,1.8,5029.5
South Africa,Pre-Paid Cards,Number of Cards,000 cards,-,12.7,2.4,2818.4
South Africa,Store Cards,Number of Cards,000 cards,-,2.3,0.5,306.5
South Africa,Transactions,Retail Value RSP,ZAR million,Current Prices,34.8,6.1,4224001.4
South Africa,Total Card Transactions,Retail Value RSP,ZAR million,Current Prices,42.3,7.3,314190.5
South Africa,ATM Transactions,Retail Value RSP,ZAR million,Current Prices,26.5,4.8,57704.8
South Africa,Card Payment Transactions,Retail Value RSP,ZAR million,Current Prices,48.8,8.3,256485.7
South Africa,Charge Card Transactions,Retail Value RSP,ZAR million,Current Prices,23.0,4.2,1899.2
